externalId,userCode,name,resultType,defaultUnit,decimals,allowedValues,loincCode,defaultValue,isActive
p2331,SLUGGISH_MOTILE_SPERM,Sluggish Motile Sperm,text,%,,,,,true
p2332,SPECIFIC_GRAVITY,Specific Gravity,text,,,,,,true
p2333,SPERM_CONCENTRATION,Sperm Concentration,text,million/ml,,,,,true
p2334,STOOL_FOR_CALPROTECTIN,Stool for Calprotectin,numeric,ug/g,,,,,true
p2335,STOOL_FOR_H_PYLORI_ANTIG,STOOL FOR H.PYLORI ANTIGEN,text,,,,,,true
p2336,STOOL_FOR_OCCULT_BLOOD,Stool for Occult Blood,coded,,,,,,true
p2337,T_I_B_C,T.I.B.C.,numeric,µg/dL,,,,,true
p2338,T3,T3,text,nmol/l,,,,,true
p2339,T4,T4,text,nmol/L,,,,,true
p2340,TAIL_DEFECTS,Tail Defects,text,%,,,,,true
p2341,TB_SCREENING_IGG,TB (Screening) IgG,coded,,,,,,true
p2342,TB_SCREENING_IGM,TB (Screening) IgM,coded,,,,,,true
p2343,TESTOSTERONE,Testosterone,numeric,ng/dL,,,,,true
p2344,TIBC,TIBC,text,ug/dL,,,,,true
p2345,TOTAL_CELL_COUNT,Total Cell Count,numeric,/cu.mm,,,,,true
p2346,TOTAL_LIPIDS,Total Lipids,numeric,mg/dl,,,,,true
p2347,TOTAL_PROTEIN,Total Protein,numeric,g/dL,,,,,true
p2348,TOTAL_VOLUME,Total Volume,numeric,ml,,,,,true
p2349,TPHA_SYPHILIS,TPHA (Syphilis),numeric,,,,,,true
p2350,TRIGLYCERIDES,Triglycerides,numeric,mg/dl,,,,,true
p2351,TROPONIN_I,Troponin-I,text,ng/ml,,,,,true
p2352,TROPONIN_T,Troponin-T,text,-,,,,,true
p2353,TSH,TSH,text,µIU/mL,,,,,true
p2354,TYPHIDOT_IGG,Typhidot igG,text,,,,,,true
p2355,TYPHIDOT_IGM,Typhidot igM,text,,,,,,true
p2356,UREA,Urea,numeric,mg/dl,,,,,true
p2357,URIC_ACID,Uric Acid,numeric,mg/dl,,,,,true
p2358,URIC_ACID_CREATININE_RAT,Uric Acid Creatinine Ratio,numeric,RATIO,,,,,true
p2359,URINE_CREATININE,Urine Creatinine,numeric,mg/dl,,,,,true
p2360,URINE_FOR_MICROALBUMINUR,Urine for Microalbuminuria (Spot),numeric,mg/L,,,,,true
p2361,URINE_FOR_PREGNANCY,Urine for Pregnancy,coded,,,,,,true
p2362,URINE_KETONES,Urine Ketones,coded,,,,,,true
p2363,URINE_PROTEIN,Urine Protein,numeric,mg/24 Hours,,,,,true
p2364,URINE_PROTEIN_SPOT_QUALI,Urine Protein (Spot) Qualitative,coded,,,,,,true
p2365,UROBILIRUBIN,Urobilirubin,coded,umol/L,,,,,true
p2366,V_D_R_L_SYPHILIS_ICT,V.D.R.L ( Syphilis ) ICT,coded,,,,,,true
p2367,V_L_D_L,V.L.D.L,numeric,mg/dl,,,,,true
p2368,VDRL_BY_ELISA,(VDRL) BY ELISA,numeric,-,,,,,true
p2369,VMA_24_HRS_URINE,VMA (24 Hrs Urine),numeric,mg/24 Hrs,,,,,true
p2370,VOLUME,Volume,numeric,ml,,,,,true
p2371,WHITE_BLOOD_CELL_WBC_TLC,White Blood Cell (WBC/TLC),numeric,*10^9/l,,,,,true
p2372,YEAST_CELLS,Yeast Cells,text,,,,,,true
